愛	爱	ài	love, like, be fond of, be keen on, cherish, be apt to, affection, to be inclined (to do sth)
出來	出来	chūlái	come forward, issue, come up, step up, step to the fore, out (toward one), come out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge
出去	出去	chūqù	go out, go/get out, get out, go out, get out, go, exit
穿	穿	chuān	to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread
床	床	chuáng	bed, couch, classifier for beds
次	次	cì	order, sequence, next, second, the second (day, time etc), vice-, sub-, infra-, inferior quality, substandard, hypo- (chemistry), classifier for enumerated events: time
從	从	cóng	from, since, through, via, to follow, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zòng]) retainer, auxiliary, related by common paternal grandfather or earlier ancestor
錯	错	cuò	wrong, mistaken, bad, poor, confused, complex, interlocking, to grind, to polish, to alternate, to inlay with gold or silver
打	打	dǎ	generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix, to break, to play (a game)
打車	打车	dǎ chē	to take a taxi (in town), to hitch a lift
打電話	打电话	dǎdiànhuà	make telephone call
打開	打开	dǎkāi	unscrew, undo, break out, open up, unbar, unpack, unwind, shoot, turn, switch on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn on, turn on, chop
打球	打球	dǎqiú	play a ball game using arms/hands
大	大	dà	great, macro, old, very, vast, tall, big, high, much, large, wide, deep, older (than), very much, (dialect) father, father’s elder or younger brother
大學	大学	dàxué	university, college
大學生	大学生	dàxuéshēng	man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university student, undergraduate student, geeks
到	到	dào	up until, to (a place), until (a time), (verb complement denoting completion or result of an action)
得到	得到	dé dào	to get, to obtain, to receive
地	地	dì	the earth, land, soil, fields, ground, place, position, background, distance
的	的	de	particle: emphasizing an action/situation, of, ~’s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis)
等	等	děng	conj.: and so on, etc, rank, grade, equal to, same as, to wait for, et cetera, et al. (and other authors), once
地點	地点	dìdiǎn	location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus
地方	地方	dìfāng	country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local
地上	地上	dì shang	on the ground, on the floor
地圖	地图	dìtú	map
弟弟	弟弟	dìdì	brother, little brother, younger brother, cadet, little brother, viscount
第	第	dì	mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence, (prefix indicating ordinal number, e.g. first, number two etc), (old) rank in the imperial examinations
點	点	diǎn	m.[proximation], drop, speck, o’clock, point (in space or time), to check on a list, to order (food in a restaurant), to touch briefly, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items
電	电	diàn	electricity
電話	电话	diànhuà	blower, phone call, headphone, earpiece, telephone, telephone call, buzz, earphone, horn, telephone set, phone call, telephony, phone
電腦	电脑	diànnǎo	electronic computer, computery, data processor, information processing system, computer
電視	电视	diànshì	TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly
電視機	电视机	diànshìjī	set, idiot box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle box, tv set, goggle box, boob tube, receiver, telly, television
電影	电影	diànyǐng	cinematography, moving picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion picture, cinematic, celluloid, picture show, motion picture, flicker
電影院	电影院	diànyǐngyuàn	cinema, movie (house)
東	东	dōng	east, host (i.e. sitting on east side of guest), landlord
東邊	东边	dōng bian	east, east side, eastern part, to the east of
東西	东西	dōngxī	thing, creature
動	动	dòng	concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move, (of sth) to move, to displace, to make use of, to stir (emotions), abbr. for 動詞|动词[dòng cí], verb
動作	动作	dòngzuò	demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move
都	都	dōu	all, even, already, both, entirely, (used for emphasis) even, (not) at all
讀	读	dú	study, read, attend school, take, read aloud, read (aloud), peruse, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn]
讀書	读书	dúshū	read, study, attend school
對	对	duì	correct, true, toward, right, couple, pair, at, to face, opposite, to treat (sb a certain way), to match together, classifier: couple
對不起	对不起	duìbùqǐ	be unfair to, I’m sorry, let ... down, let sb. down, excuse me
多	多	duō	many, much, more, more than the correct/required number, excessive, too much, much/far more, multi-, Taiwan pr. [duó] when it means “how”
多少	多少	duōshǎo	det.: how many, how much, many
餓	饿	è	starve, to be hungry, to starve (sb)
兒子	儿子	érzi	viscount, man-child, boy, male offspring, son
二	二	èr	det.: two, second, 2, (Beijing dialect) stupid
飯	饭	fàn	food, meal, repast, cooked rice or other cereals, dinner, (loanword) fan
飯店	饭店	fàndiàn	restraurant, restaurant, hotel
房間	房间	fángjiān	apartment, aspect, houseroom, room, chamber, bedroom
房子	房子	fángzi	building (of less than three stories), room, building, property, house
放	放	fàng	loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus, to set off (fireworks)
放假	放假	fàngjià	have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation
放學	放学	fàngxué	have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)
飛	飞	fēi	hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit
飛機	飞机	fēijī	aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft
非常	非常	fēicháng	extraordinary, unusual, special, very, extremely, highly
分	分	fèn	m.[general]
風	风	fēng	wind, common practice, custom, general mood, style, news, information, manner
幹	干	gàn	do, work, fight, tree trunk, main part of sth, to manage, capable, to kill (slang)
乾淨	干净	gānjìng	clean, clear
幹什麼	干什么	gànshénmo5	do something
高	高	gāo	tall, high, above average, loud, your (honorific)
高興	高兴	gāoxìng	glad, happy, cheerful, merry, pleased
告訴	告诉	gàosù	tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know
哥哥	哥哥	gēgē	big brother, elder brother, big brother
歌	歌	gē	song, to sing
個	个	gè	piece, item, individual, this, size, classifier for people or objects in general, variant of 個|个[gè]
給	给	gěi	give, give to, for, for the benefit of, to allow, to do sth (for sb), (grammatical equivalent of 被), (sentence intensifier)
跟	跟	gēn	with, to, from, heel, to follow closely, to go with, (of a woman) to marry sb, compared with, and (joining two nouns)
工人	工人	gōngrén	navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand
工作	工作	gōngzuò	work, job
關	关	guān	shut, close, turn off, lock up, close down, mountain pass, to concern, to involve
關上	关上	guān shàng	to close (a door), to turn off (light, electrical equipment etc)
貴	贵	guì	expensive, costly, highly valued, noble, precious, (honorific) your
國	国	guó	surname Guo, country, nation, state, national, CL:個|个[ge4]
國家	国家	guójiā	sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica
國外	国外	guówài	overseas
過	过	guò	[aspect], to cross, to go over, to pass (time), to celebrate (a holiday), excessively
還	还	hái	still, yet, also, too, as well, besides, still in progress, in addition, fairly, passably (good), even
還是	还是	háishì	still, nevertheless
還有	还有	háiyǒu	conj.: furthermore, in addition
孩子	孩子	háizi	kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son
漢語	汉语	Hàn yǔ	Chinese language, CL:門|门[men2]
漢字	汉字	hàn zì	Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự
好	好	hǎo	good, well, proper, easy to, very, (suffix indicating completion or readiness), (after a personal pronoun) hello
好吃	好吃	hǎochī	delicious, good to eat, tasty, enjoy eating good food, gluttonous
好看	好看	hǎokàn	embarrassed, interesting, nice, good-looking, delightful
好聽	好听	hǎotīng	pleasant to hear
好玩兒	好玩儿	hǎowánr	interesting, delightful, amusing
號	号	hào	m.[general], ordinal number, day of a month, mark, sign, business establishment, ship suffix, horn (wind instrument), assumed name, to take a pulse, classifier used to indicate number of people
喝	喝	hē	drink, My goodness!
和	和	hé	and, with, gentle, peaceful, together with, sum, union, harmony, Taiwan pr. [hàn] when it means “and” or “with”
很	很	hěn	pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly, (adverb of degree)
後	后	hòu	rear, back, behind, afterwards, post-
後邊	后边	hoù bian	back, rear, behind
後天	后天	hoù tiān	the day after tomorrow, post-natal, acquired (not innate), a posteriori
花	花	huā	spend, expend, cost, flower, blossom, fancy pattern, to spend (money, time), (coll.) lecherous, lustful
話	话	huà	words, thing, language, tongue, talk, speech, spoken language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word, dialect, spoken words, what sb said
壞	坏	huài	spoiled, bad, broken, to break down, (suffix) to the utmost
回	回	huí	return, go back, to circle, to turn around, Hui ethnic group (Chinese Muslims), classifier for acts of a play, section or chapter (of a classic book)
回答	回答	huídá	answer, reply
回到	回到	huídào	remount, retour, recur, turn back, regress, regain, revert, go back, return to, return, go back to
回家	回家	huíjiā	return home
回來	回来	huílái	come back, get back, recur, revisit, come, return, be back, come back
回去	回去	huíqù	go home, go back, retrocede, go back, be back, go, return
會	会	huì	to be able, can, will, to meet, union, group, association, a moment (Taiwan pr. for this sense is [huǐ]), be likely to, CL:個|个[gè]
火車	火车	huǒchē	choo-choo, railroad train, car train, marshalling yard, puff-puff, train
機場	机场	jīchǎng	landing field, flying field, airfield, airport, airdrome, field, aerodrome
機票	机票	jī piào	air ticket, passenger ticket, CL:張|张[zhang1]
雞蛋	鸡蛋	jī dàn	(chicken) egg, hen’s egg, CL:個|个[ge4], 打[da2]
幾	几	jǐ	det.: how many, a few, several, some
記	记	jì	write down, record, to note, to memorize, mark, sign, classifier for blows, kicks, shots
記得	记得	jìde	come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind
記住	记住	jì zhu	to remember, to bear in mind, to learn by heart
家	家	jiā	family, household, home, house, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[gè]
家裡	家里	jiā lǐ	home
家人	家人	jiārén	relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house
間	间	jiān	locality, room, between, among, within a definite time or space, section of a room or lateral space between two pairs of pillars
見	见	jiàn	see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet, to interview
見面	见面	jiànmiàn	meet, see
教	教	jiāo	teach
叫	叫	jiào	to be called, to shout, to order, by (indicates agent in the passive mood)
教學樓	教学楼	jiào xué loú	teaching block, school building
姐姐	姐姐	jiějiě	sis, big sister, elder sister, sister
介紹	介绍	jièshào	introduce, present, recommend, suggest, let know, brief
今年	今年	jīn nián	this year
今天	今天	jīn tiān	today, at the present, now
進	进	jìn	enter, come/go into, advance, to go forward, to put in, (math.) base of a number system, classifier for sections in a building or residential compound
進來	进来	jìnlái	come in, enter
進去	进去	jìnqù	enter, entry, go in, get in, go in
九	九	jiǔ	det.: nine, 9
就	就	jiù	then, at once, right away, an indicator strengthening speaker’s evaluation, just (emphasis), to accomplish, to go with (of foods)
覺得	觉得	juéde	imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think of, appear, conceive
開	开	kāi	open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal, to write out (a prescription, check, invoice etc), abbr. for Kelvin, 開爾文|开尔文[kāi ěr wén]
開車	开车	kāi chē	to drive a car
開會	开会	kāihuì	hold/attend meeting
開玩笑	开玩笑	kāiwánxiào	kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke
看	看	kàn	see, look at, watch, read, look upon, regard, look after, call on, visit, to consider, to treat (an illness), (after verb) to give it a try, Watch out! (for a danger), depending on (how you’re judging)
看病	看病	kàn bìng	to visit a doctor, to see a patient
看到	看到	kàndào	view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay eyes on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of
看見	看见	kànjiàn	seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of
考	考	kǎo	study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check, deceased father
考試	考试	kǎoshì	examination, test
渴	渴	kě	thirsty
課	课	kè	subject, course, class, lesson, to levy, tax, form of divination
課本	课本	kèběn	text edition, textbook, text, school text, schoolbook
課文	课文	kè wén	text, CL:篇[pian1]
口	口	kǒu	m.[general], mouth, classifier for things with mouths (people, domestic animals, cannons, wells etc)
塊	块	kuài	m.[general], lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units, colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱
快	快	kuài	fast, quick, quick-witted, ingenious, sharp (of knives), straightforward, almost, to make haste, clever, plainspoken
來	来	lái	to, to come, to arrive, ever since, next
來到	来到	láidào	arrive, come
老	老	lǎo	old, aged;of long standing, outdated, tough, overgrown, dark (of colors), prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity
老人	老人	lǎorén	oldster, ancient, old woman, crock, one’s aged parents or grandparents, old man/woman, one’s aged parents/grandparents, Sir, old person, gaffer, pop, one’s aged parents, the aged/old, old man, senior citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old boy, old boy, woman, old-timer, old man or woman, one’s aged grandparents
老師	老师	lǎoshī	rabbi, professor, swami, instructor, teacher, mast
了	了	le	entirely, (modal particle intensifying preceding clause)
累	累	lèi	tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out
冷	冷	lěng	cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange
裡	里	lǐ	inside, lining, interior, also written 裏|里[lǐ], li (Chinese mile), 500 meters (modern), village, neighborhood, administrative unit
裡邊	里边	lǐ bian	inside
兩	两	liǎng	det.: two, both (sides), either (side), a few, some, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jīn] (old)
零	零	líng	det.: zero, naught, nil, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one)
六	六	liù	det.: six, 6
樓	楼	lóu	storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building, house with more than 1 story
樓上	楼上	loú shàng	upstairs
樓下	楼下	loú xià	downstairs
路	路	lù	road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class, line (bus etc)
路口	路口	lù koǔ	crossing, intersection (of roads)
路上	路上	lù shang	on the road, on a journey, road surface
媽媽	妈妈	māmā	mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma
馬路	马路	mǎlù	drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic
馬上	马上	mǎshàng	in a short time, at once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in no time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f
嗎	吗	mā	particle: calling for agreement or disagreement
買	买	mǎi	pick up, invest, hire, buy, purchase, put down, trade, get
慢	慢	màn	tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate
忙	忙	máng	hurry, hasten, busy, to rush
毛	毛	máo	Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking, coarse or semifinished, unthinking, nervous, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiǎo] , = one-tenth of a yuan or 10 fen 分[fēn])
沒	没	méi	not, (negative prefix for verbs)
沒關係	没关系	méiguānxì	it doesn’t matter, never mind
沒甚麼	没什么	méi shén me	nothing, it doesn’t matter, it’s nothing, never mind
沒事兒	没事儿	méishìr	to have spare time, free from work, it’s not important, it’s nothing, never mind
沒有	没有	méiyǒu	not have, there is not, be without
妹妹	妹妹	mèimèi	little sister, sis, younger sister, little sister, sister
門	门	mén	door, gate, opening, valve, switch, way to do something, knack, family, (religious) sect, school (of thought), category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal
門口	门口	ménkǒu	porch, portal, doorway, gateway, threshold, room access, door, entering, entrance
門票	门票	ménpiào	entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance
們	们	men	pluralizer after pronouns and nouns of persons
米飯	米饭	mǐ fàn	(cooked) rice
麵包	面包	miànbāo	bun, staff of life, cookie, breadstuff, bread
麵條兒	面条儿	miàntiáor	noodles, erhua variant of 麵條|面条[mian4 tiao2]
名字	名字	míngzi	first name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation
明白	明白	míngbái	clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization
明年	明年	míng nián	next year
明天	明天	míng tiān	tomorrow
拿	拿	ná	take, hold, seize, capture, to catch, to apprehend, (used in the same way as 把[bǎ]: to mark the following noun as a direct object)
哪	哪	nǎ	det.: which, how
哪裡	哪里	nǎlǐ	where
哪兒	哪儿	nǎér	where
哪些	哪些	nǎxiē	det.: which
那	那	nà	det.: that, those, then (in that case), commonly pr. [nèi] before a classifier, esp. in Beijing
那邊	那边	nàbiān	beyond, that side, there
那裡	那里	nàlǐ	that place
那兒	那儿	nǎēr	that place
那些	那些	nǎxiē	det.: those
奶	奶	nǎi	breasts, milk, to breastfeed
奶奶	奶奶	nǎinǎi	nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother
男	男	nán	baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son, Baron, lowest of five orders of nobility 五等爵位[wǔ děng jué wèi]
男孩兒	男孩儿	nánháir	boy, erhua variant of 男孩[nan2 hai2]
男朋友	男朋友	nánpéngyǒu	boyfriend
男人	男人	nánrén	male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella
男生	男生	nánshēng	brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student
南	南	nán	Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern
南邊	南边	nán bian	south, south side, southern part, to the south of
難	难	nán	make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame
呢	呢	ne	particle: marking quesitons about subject already mentioned; indicating strong affirmation, particle indicating that a previously asked question is to be applied to the preceding word (“What about ...?”, “And ...?”), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (“ok?”, “are you with me?”), (at the end of a declarative sentence) particle indicating continuation of a state or action
能	能	néng	can or to be capable of, might possibly, ability, (physics) energy, (usually used in the negative) to have the possibility of
你	你	nǐ	you, you (informal, as opposed to courteous 您[nín])
你們	你们	nǐmen	you, you (plural), you-all
年	年	nián	year, CL:個|个[gè]
您	您	nín	you, you (courteous, as opposed to informal 你[nǐ])
牛奶	牛奶	nióunǎi	cow’s milk
女	女	nǔ	girl, female, woman, neodymium, hen, daughter, beaver, creature
女兒	女儿	nǔér	daughter, girl
女孩兒	女孩儿	nǚháir	girl, erhua variant of 女孩[nu:3 hai2]
女朋友	女朋友	nǔpéngyǒu	jane, girl, girl friend, lady friend, girlfriend, amie
女人	女人	nǔrén	jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women
女生	女生	nǔshēng	schoolgirl, girl student, female student, female, girl, woman student, co-ed
旁邊	旁边	pángbiān	by the side of, side, adjacency, near by
跑	跑	pǎo	travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away
朋友	朋友	péngyou	amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company
票	票	piào	ticket, ballot, note, person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions
七	七	qī	det.: seven, 7
起	起	qǐ	[aspect], to rise, to get up, to start, to launch, to initiate (action), to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance
起床	起床	qǐchuáng	uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get up, awake, get up
起來	起来	qǐlái	[aspect]
汽車	汽车	qìchē	automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus
前	前	qián	front, forward, ahead, top (followed by a number), future, ago, before, BC (e.g. 前293年)
前邊	前边	qián bian	front, the front side, in front of
前天	前天	qián tiān	the day before yesterday
錢	钱	qián	copper coin, cash, money, fund, sum, unit of weight, one tenth of a tael 兩|两[liǎng], CL:筆|笔[bǐ]
錢包	钱包	qián bāo	purse, wallet
請	请	qǐng	request, ask (a favor), engage, hire (teacher/etc.), Please..., to ask, to invite, please (do sth), to treat (to a meal etc)
請假	请假	qǐngjià	vacate, ask for leave
請進	请进	qǐng jìn	’please come in’
請問	请问	qǐngwèn	Excuse me, may I ask...?
請坐	请坐	qǐng zuò	Sitting, please have a seat
球	球	qiú	ball, sphere, globe, ball game, match
去	去	qù	to go, to leave, in order to, to go to (a place), (of a time etc) last, just passed, to be apart from in space or time, (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (of a time or an event etc) just passed or elapsed
去年	去年	qù nián	last year
熱	热	rè	hot, to warm up, hot (of weather), fervent
人	人	rén	person, people, man, CL:個|个, 位[wèi]
認識	认识	rènshì	know, recognize
認真	认真	rènzhēn	serious, earnest, take for real
日	日	rì	m.[standard], date, day of the month, abbr. for 日本 Japan
日期	日期	rìqí	calendar, when, date
肉	肉	ròu	pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite, pulp (of a fruit), (of a person) flabby, irresolute
三	三	sān	det.: three, 3
山	山	shān	Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount, bundled straw in which silkworms spin cocoons
商場	商场	shāngchǎng	department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market
商店	商店	shāngdiàn	concern, hospital, business, store, shoppe, shop
上	上	shàng	on, above, on top, upper, previous, first (of multiple parts), to attend (class or university)
上班	上班	shàngbān	start work, go to work, be on duty
上邊	上边	shàng bian	the top, above, overhead, upwards, the top margin, above-mentioned, those higher up
上車	上车	shàng chē	to get on or into (a bus, train, car etc)
上次	上次	shàng cì	last time
上課	上课	shàngkè	attend class, go to class;give lesson/lecture
